Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Disability_Status,Housing_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
18A.3,2025,Descriptive data,All ages,All people,All households,All areas,All households,Public housing,,Public housing,Dwellings; at 30 June,,,,,,AIHW (unpublished) National Housing Assistance Data Repository,no.,92709,64277,53727,33940,31611,5051,11097,4129,,296541
18A.3,2025,Descriptive data,All ages,All people,All households,All areas,All households,State owned and managed Indigenous housing,,State owned and managed Indigenous housing,Dwellings; at 30 June,,,,,,AIHW (unpublished) National Housing Assistance Data Repository,no.,6552,..,3291,..,1369,162,..,5789,,17163
18A.3,2025,Descriptive data,All ages,All people,All households,All areas,All households,Community housing,,Community housing,Dwellings; at 30 June,Number of Tenancy (Rental) Units,,,,,AIHW (unpublished) National Housing Assistance Data Repository,no.,52439,19625,13158,7611,13010,10430,1246,906,,118425
18A.3,2025,Descriptive data,All ages,All people,All households,All areas,All households,Community housing,,Community housing,Dwellings; at 30 June,Number of dwellings,,,,,AIHW (unpublished) National Housing Assistance Data Repository,no.,51927,18545,12832,6641,12455,10050,850,906,,114206
18A.3,2025,Descriptive data,All ages,All people,All households,All areas,All households,Indigenous community housing,,Indigenous community housing,Dwellings; at 30 June,,,,,,AIHW (unpublished) National Housing Assistance Data Repository,no.,5471,2146,5406,2687,688,96,..,1984,,18478
18A.3,2024,Descriptive data,All ages,All people,All households,All areas,All households,Public housing,,Public housing,Dwellings; at 30 June,,,,,,AIHW (unpublished) National Housing Assistance Data Repository,no.,94470,64223,53509,33436,31462,5066,10952,4566,,297684
18A.3,2024,Descriptive data,All ages,All people,All households,All areas,All households,State owned and managed Indigenous housing,,State owned and managed Indigenous housing,Dwellings; at 30 June,,,,,,AIHW (unpublished) National Housing Assistance Data Repository,no.,5380,..,3259,..,1360,164,..,5705,,15868
18A.3,2024,Descriptive data,All ages,All people,All households,All areas,All households,Community housing,,Community housing,Dwellings; at 30 June,Number of Tenancy (Rental) Units,,,,,AIHW (unpublished) National Housing Assistance Data Repository,no.,54412,18191,12548,8012,13048,10139,1736,731,,118817
18A.3,2024,Descriptive data,All ages,All people,All households,All areas,All households,Community housing,,Community housing,Dwellings; at 30 June,Number of dwellings,,,,,AIHW (unpublished) National Housing Assistance Data Repository,no.,53896,15011,12305,6994,12473,9724,1273,731,,112407
18A.3,2024,Descriptive data,All ages,All people,All households,All areas,All households,Indigenous community housing,,Indigenous community housing,Dwellings; at 30 June,,,,,,AIHW (unpublished) National Housing Assistance Data Repository,no.,5336,2060,5433,2683,696,96,..,1878,,18182
